epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8069604635238647,0.8202009201049805,0.8202009201049805,0.9679690003395081,0.8017492890357971,0.838652491569519,0.8770530819892883,0.0,0.9679690249912003,0.41023417172593235,2750.0,91.0,473.0,680.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: survic_mo_6
table: survival_dif_lengths
table_extra: 6
dataset: SCAR
debug: False
max_tokens: 5000
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.2
run_name: BoW_20220216-0509
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_6
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\survic_mo_6\BoW
