epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.6055169105529785,0.6021905541419983,0.6021906137466431,0.6387176513671875,0.6384552121162415,0.5659258961677551,0.6385864615440369,0.0,0.6387176325524044,0.5656465942744324,1554.0,879.0,1146.0,880.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_1
table: need_infos_dif_n
table_extra: 1
dataset: SCAR
debug: False
max_tokens: 5000
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.2
run_name: BoW_20220216-0216
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_1
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_1\BoW
