epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.8228046298027039,0.8345152139663696,0.914564847946167,0.9234703183174133,0.7982317805290222,0.870798647403717,0.8562960028648376,0.0,0.9234703196347032,0.6884446611409069,5056.0,419.0,2824.0,1278.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results
data_version: ppv4
target: surv_mo_60
table: survival_dif_lengths
table_extra: 60
dataset: SCAR
debug: False
eval_only: False
model_file: None
max_tokens: 5000
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 1
run_name: BoW_20230101-1533
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp_survival\results\surv_mo_60\BoW
