epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.811956524848938,0.8043826222419739,0.8043826818466187,0.7424381375312805,0.7729007601737976,0.8358644843101501,0.7573632597923279,0.0,0.7424381301558204,0.8573996405032954,810.0,281.0,1431.0,238.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
batch_size: 8
seed: 3435
patience: 10
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: surv_mo_60
table: bow_c_choose
dataset: SCAR
debug: False
max_tokens: 1000
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.1
run_name: BoW_20220201-1530
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\surv_mo_60
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\surv_mo_60\BoW
