epoch,acc,bal_acc,auc,prec,rec,spec,f1,loss,ppv,npv,tp,fp,tn,fn
0,0.5895940661430359,0.5945846438407898,0.5945846438407898,0.3792613744735718,0.6068181991577148,0.5823510885238647,0.46678322553634644,0.0,0.37926136363636365,0.7788666382616106,801.0,1311.0,1828.0,519.0

Run Arguments:
cuda: True
gpu: 0
cuda_block: False
epochs: 1
seed: 3435
patience: 5
monitor_metric: bal_acc
log_every: 10
imbalance_fix: loss_weight
data_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp_data\data
results_dir: C:\Users\jjnunez\PycharmProjects\scar_nlp\results
data_version: ppv4
target: need_infos_2
table: need_infos_dif_n
table_extra: 2
dataset: SCAR
debug: False
max_tokens: 5000
use_idf: True
classifier: l2logreg
rf_estimators: 50
elnet_l1_ratio: 0.67
elnet_alpha: 0.1
elnet_power_t: 0.01
gbdt_estimators: 100
gbdt_lr: 0.1
gbdt_max_depth: 3
l2logreg_c: 0.2
run_name: BoW_20220216-0238
results_dir_target: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_2
results_dir_model: C:\Users\jjnunez\PycharmProjects\scar_nlp\results\need_infos_2\BoW
